month,week,sat,sun,sat_alt,sun_alt,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12,pop_hudson,real_fare,sun_x_avg,sat_x_avg,week_x_avg,man_hud,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile,man_hud_opt,man_hud_pess,population_hud_opt,population_hud_pess,real_fare_q1,num_wkdayholminor,num_satholmajor,num_sun,total_days,,,
9/1/02,176328,89599,63358,89599,63358,20,5,5,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,616.0060566,2.091890843,0,0,0,2350.684351,176328,83911.8,63358,2350.667184,2350.684351,616.0060583,616.0060583,2.185465968,20,5,5,30,,,
10/1/02,170083,80731,63646,80731,63646,23,4,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,615.9778182,2.087570986,0,0,0,2347.855414,168429.5652,80731,63646,2347.83697,2347.855414,615.9778183,615.9778183,2.17849209,23,4,4,31,,,
11/1/02,168713,83538,61843,83538,61843,19,7,4,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,615.9375334,2.090809204,0,0,0,2345.31902,167672.483,82316.11755,61844,2345.302461,2345.31902,615.9375347,615.9375347,2.169024196,19,7,4,30,,,
12/1/02,161982,90845,67300,90845,67300,21,5,5,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,615.8705286,2.094057483,0,0,0,2342.323049,157958,88170,67300,2342.309939,2342.323049,615.8705318,615.8705318,2.159486296,21,5,5,31,,,
1/1/03,160048,71488,51824,71488,51824,21,6,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,615.7622885,2.076848998,0,0,0,2337.961239,160170,71655.33333,51824,2337.950868,2337.961239,615.7622906,615.7622906,2.152942228,21,6,4,31,,,
2/1/03,160867,71921,52513,71921,52513,19,5,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,615.6094314,2.060970948,0,0,0,2331.811553,160867,62116.2,52513,2331.801574,2331.811553,615.6094276,615.6094276,2.151266227,19,5,4,28,,,
3/1/03,160269,84040,57064,84040,57064,21,5,5,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,615.4531102,2.051560122,0,0,0,2325.388861,160269,84040,57064,2325.37783,2325.388861,615.4531,615.4531,2.1518374,21,5,5,31,,,
4/1/03,157178,76129,59661,76129,59661,22,4,4,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,615.3456112,2.055732079,0,0,0,2320.692263,157178,76129,59661,2320.680271,2320.692263,615.3456007,615.3456007,2.150929537,22,4,4,30,,,
5/1/03,157661,75650,59529,75650,59529,21,6,4,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,615.323037,2.0546875,0,0,0,2319.189679,157661,70609.66667,59529,2319.17797,2319.189679,615.3230361,615.3230361,2.14583046,21,6,4,31,,,
6/1/03,161773,75878,63435,75878,63435,21,4,5,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,615.3567543,2.053643982,0,0,0,2320.224324,157628,75878,63435,2320.213752,2320.224324,615.3567686,615.3567686,2.137849843,21,4,5,30,,,
