"","month","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun","sat_alt","sun_alt","avg_wkdayholminor_tstile","avg_satholmajor_tstile","avg_sun_tstile","real_fare","man_hud_KEEP","man_hud_opt","man_hud_pess","population_hud_opt","population_hud_pess","real_fare_q1_KEEP","pop_hudson_KEEP"
"33",2002-09-01,20,7,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3053.442759,3053.99858,2964.95537,737.5972187,737.5972187,2.75,737.4588454
"34",2002-10-01,20,6,5,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3072.566068,3076.424899,2983.524494,739.8406167,739.8406167,2.75,739.6431812
"35",2002-11-01,20,6,5,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3091.296305,3098.330705,3001.711938,741.6689614,741.6689614,2.75,741.4157045
"36",2002-12-01,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3109.395997,3119.534718,3019.287109,743.0551686,743.0551686,2.75,742.7506689
"37",2003-01-01,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3124.942977,3140.883845,3034.383545,746.7704445,746.7704445,2.75,744.088037
"38",2003-02-01,20,7,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3143.308253,3162.379078,3052.216604,748.9358657,748.9358657,2.75,745.4278131
"39",2003-03-01,20,7,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3161.781462,3184.021418,3070.154467,751.107566,751.107566,2.75,746.7700016
"40",2003-04-01,20,7,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3180.363237,3205.811872,3088.197751,753.2855636,753.2855636,2.75,748.1146068
"41",2003-05-01,20,7,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3199.054218,3227.751452,3106.347076,755.4698767,755.4698767,2.75,749.461633
"42",2003-06-01,22,4,5,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,267080.9545,112181,78463,1.46031961,2527.458483,2527.442289,2527.458483,612.3413967,612.3413967,1.524112017,612.3413902
"43",2003-07-01,23,4,4,23,4,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,208724.5652,89945,66140,2.153154952,2401.414833,2401.398671,2401.414833,616.8287192,616.8287192,2.246298388,616.8287541
"44",2003-08-01,23,4,4,23,4,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,170083,80731,63646,80731,63646,168429.5652,80731,63646,2.087570986,2347.855414,2347.83697,2347.855414,615.9778183,615.9778183,2.17849209,615.9778182
"45",2003-09-01,23,4,4,23,4,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,160130,81679,60482,81679,60482,159225.3043,81679,60430,2.0218125,2325.6907,2325.681223,2325.6907,615.3906044,615.3906044,2.110472542,615.3905631
"46",2003-10-01,21,5,5,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,200575,90672,69064,90672,69064,198391.8571,90672,69064,1.950615051,2332.098208,2332.085817,2332.098208,615.144306,615.144306,2.033313601,615.1443167
"47",2003-11-01,21,5,5,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,212579,90173,70018,90173,70018,210197.619,90173,70018,1.866862881,2379.437054,2379.418876,2379.437054,614.8844185,614.8844185,1.954877322,614.8844103
"48",2003-12-01,22,4,5,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,236989.19,100677,78676,100677,78676,235527.6818,100677,78676,1.823917456,2424.164076,2424.144576,2424.164076,614.1260402,614.1260402,1.902441975,614.1260395
"49",2004-01-01,23,4,4,23,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,256053,113290,87586,113290,87586,253604.7391,113290,87586,1.769236323,2480.423045,2480.400062,2480.423045,615.6968649,615.6968649,1.837225671,615.6968478
