month,num_wkdayholminor,num_satholmajor,num_sun,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12
4/1/13,22,4,4,22,4,4,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
5/1/13,22,5,4,23,4,4,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0
6/1/13,20,5,5,20,5,5,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0
7/1/13,22,5,4,23,4,4,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0
8/1/13,22,5,4,22,5,4,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0
9/1/13,20,5,5,21,4,5,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0
10/1/13,23,4,4,22,5,4,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0
11/1/13,19,7,4,20,6,4,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0
12/1/13,21,5,5,22,4,5,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1
1/1/14,21,6,4,23,4,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2/1/14,19,5,4,20,4,4,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
3/1/14,21,5,5,21,5,5,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
4/1/14,22,4,4,22,4,4,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
5/1/14,21,6,4,22,5,4,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0
6/1/14,21,4,5,21,4,5,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0
7/1/14,22,5,4,23,4,4,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0
8/1/14,21,5,5,21,5,5,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0
9/1/14,21,5,4,22,4,4,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0
10/1/14,23,4,4,22,5,4,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0
11/1/14,18,7,5,19,6,5,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0
12/1/14,22,5,4,23,4,4,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1
1/1/15,20,7,4,22,5,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2/1/15,19,5,4,20,4,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
3/1/15,22,4,5,22,4,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
4/1/15,22,4,4,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5/1/15,20,6,5,21,5,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
6/1/15,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
7/1/15,22,5,4,23,4,4,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8/1/15,21,5,5,21,5,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
9/1/15,21,5,4,22,4,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0
10/1/15,22,5,4,21,6,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
11/1/15,19,6,5,20,5,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0
12/1/15,22,5,4,23,4,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
1/1/16,19,7,5,21,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2/1/16,20,5,4,21,4,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
3/1/16,23,4,4,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
4/1/16,21,5,4,21,5,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5/1/16,21,5,5,22,4,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
6/1/16,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
7/1/16,20,6,5,21,5,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8/1/16,23,4,4,23,4,4,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0
9/1/16,21,5,4,22,4,4,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0
10/1/16,21,5,5,20,6,5,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0
