"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","manhattan_baseline","hudson_baseline","region_pess","region_opt","man_hud_pess","man_hud_opt","cpi_2020_08","manhattan_base_2020_10","hudson_base_2020_10","pop_hudson_2020_10","cpi_2020_10","man_hud_2020_10","pop_hudson_2020_06","month"
"Dec 2003",2317.60588115293,201.136356841418,615.3117580006,2317.60627135819,186.10452197984,8025.4976639775,2073.78307699267,243.835228778652,8025.4976639775,8025.4976639775,2317.61830590891,2317.61830590891,186.104631565366,2075.14644863845,243.770266341677,615.311781596158,186.104631565366,2318.91671498089,615.311755578846,2003-12-01
"Jan 2004",2315.833528,201.8086,615.2786374,2315.833528,186.7,8025.919,2072.136004,243.7114229,8025.919,8025.919,2315.847427,2315.847427,186.7,2073.468017,243.726295,615.278658,186.7,2317.194312,615.2786395,2004-01-01
"Feb 2004",2318.63381331032,202.683841403354,615.259706650091,2318.63317739566,187.25670289413,8031.60938596263,2075.05728854025,243.59142499234,8031.60938596263,8031.60938596263,2318.64871347973,2318.64871347973,187.256590853118,2076.25838082829,243.614980183121,615.259712950311,187.256590853118,2319.87336098763,615.259709269402,2004-02-01
"Mar 2004",2323.9664454644,203.587601095983,615.246935549678,2323.96555843006,187.749476834291,8040.58059840308,2080.52992336129,243.451888283713,8040.58059840308,8040.58059840308,2323.98181143987,2323.98181143987,187.749260862218,2081.49322587708,243.437991781255,615.246924721981,187.749260862218,2324.93121759775,615.246936177067,2004-03-01
"Apr 2004",2328.770636,204.2901,615.2286394,2328.770636,188.167,8049.77,2085.534099,243.2518402,8049.77,8049.77,2328.785939,2328.785939,188.1667,2086.147483,243.1997201,615.2286201,188.1667,2329.347203,615.2286381,2004-04-01
"May 2004",2330.74016122254,204.645483437465,615.197352481267,2330.74249478413,188.516919213534,8056.77599170927,2087.78231180106,242.972625916814,8056.77599170927,8056.77599170927,2330.75493778064,2330.75493778064,188.516567427593,2087.96055722297,242.91533169177,615.197340864836,188.516567427593,2330.87588878422,615.197351221483,2004-05-01
"Jun 2004",2330.587056508,204.843594330208,615.162484989577,2330.59169858826,188.882755868186,8061.84112759539,2087.91628133998,242.684861608715,8061.84112759539,8061.84112759539,2330.60114340572,2330.60114340572,188.882399059837,2087.72975026067,242.643098096263,615.162488778879,188.882399059837,2330.37284822074,615.162484949921,2004-06-01
"Jul 2004",2329.777922,205.1582,615.1376661,2329.782931,189.367,8065.869,2087.310033,242.4814812,8065.869,8065.869,2329.791515,2329.791515,189.3667,2087.016838,242.4520671,615.1376806,189.3667,2329.468905,615.137667,2004-07-01
"Aug 2004",2329.55733842914,205.796976698635,615.132248095211,2329.55958613448,190.029360992473,8069.47509164471,2087.1036102555,242.467214977441,8069.47509164471,8069.47509164471,2329.57082617546,2329.57082617546,190.02918017725,2087.0794400576,242.429980201651,615.132259790345,190.02918017725,2329.50942024585,615.132248629851,2004-08-01
"Sep 2004",2330.28180887397,206.703236398,615.138475688309,2330.27990021691,190.758425618895,8072.12244677093,2087.50112894546,242.793978677722,8072.12244677093,8072.12244677093,2330.29510849283,2330.29510849283,190.758368824361,2087.95855096913,242.739353748505,615.138476629169,190.758368824361,2330.69790481561,615.138475271395,2004-09-01
"Oct 2004",2332.085817,207.7542,615.1443167,2332.08082,191.4,8072.986,2088.472723,243.6254844,8072.986,8072.986,2332.098208,2332.098208,191.4,2089.391009,243.5613978,615.1443081,191.4,2332.952407,615.1443159,2004-10-01
