month,week,sat,sun,sat_alt,sun_alt,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12,pop_hudson,real_fare,sun_x_avg,sat_x_avg,week_x_avg,man_hud,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile
2/1/2000,244019,94431.8,65227,NA,NA,20,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,608.2910144,1.493490305,NA,NA,NA,2484.391829,NA,NA,NA
3/1/2000,247544,99765,68909,NA,NA,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,608.803305,1.485261708,NA,NA,NA,2493.880902,NA,NA,NA
4/1/2000,245914,100145,67410,NA,NA,20,5,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,609.2940014,1.486080485,NA,NA,NA,2500.026064,NA,NA,NA
5/1/2000,257985,92609.4,75643,NA,NA,22,5,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,609.75897,1.486080485,NA,NA,NA,2502.597863,NA,NA,NA
6/1/2000,260820,102604,77873,NA,NA,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,610.2186756,1.481181319,NA,NA,NA,2503.896615,NA,NA,NA
7/1/2000,250338,105842,72115,NA,NA,20,6,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,610.6997325,1.474699125,NA,NA,NA,2506.855078,NA,NA,NA
8/1/2000,253989,102662,76739,NA,NA,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,611.2215048,1.472282906,NA,NA,NA,2513.385351,NA,NA,NA
9/1/2000,267337,102789.5,80405,NA,NA,20,6,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,611.7743553,1.461903471,NA,NA,NA,2521.316887,NA,NA,NA
10/1/2000,267080.9545,112181,78463,NA,NA,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,612.3413967,1.46031961,NA,NA,NA,2527.458483,NA,NA,NA
11/1/2000,266352.3132,112571.4559,72218,NA,NA,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,612.9072349,1.46031961,NA,NA,NA,2529.281486,NA,NA,NA
12/1/2000,256185,91876.83333,74820,NA,NA,20,6,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,613.4624491,1.463490771,NA,NA,NA,2526.907464,NA,NA,NA
1/1/2001,258328,93508,64854,NA,NA,21,6,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,613.9991116,1.457950243,NA,NA,NA,2521.120539,NA,NA,NA
2/1/2001,259913,99738.8,64644,NA,NA,19,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,614.5170427,1.454803022,NA,NA,NA,2512.958561,NA,NA,NA
3/1/2001,260170,108856,71413,NA,NA,22,5,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,615.0470543,1.446217811,NA,NA,NA,2504.47429,NA,NA,NA
4/1/2001,259015,105199,72270,NA,NA,21,4,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,615.6277061,2.167001608,NA,NA,NA,2497.974214,NA,NA,NA
5/1/2001,260982,94160.6,76338,NA,NA,22,5,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,616.2653521,2.15890283,NA,NA,NA,2494.413849,NA,NA,NA
6/1/2001,262492,95778,78275,NA,NA,21,5,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,616.8375233,2.1474376,NA,NA,NA,2489.34482,NA,NA,NA
7/1/2001,254760,100510,72905,NA,NA,21,5,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,617.189545,2.153154952,NA,NA,NA,2476.967778,NA,NA,NA
8/1/2001,250885,97968,74795,NA,NA,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,617.2204742,2.149720893,NA,NA,NA,2453.832254,NA,NA,NA
9/1/2001,202934,93006.16667,72466,NA,NA,19,6,5,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,617.044294,2.150864362,NA,NA,NA,2425.883296,NA,NA,NA
10/1/2001,208724.5652,89945,66140,NA,NA,23,4,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,616.8287192,2.153154952,NA,NA,NA,2401.414833,NA,NA,NA
11/1/2001,196112.1782,80549.23924,63770,NA,NA,20,6,4,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,616.7043437,2.153154952,NA,NA,NA,2386.687017,NA,NA,NA
12/1/2001,178241,89199.83333,66571,NA,NA,20,6,5,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,616.6532786,2.15890283,NA,NA,NA,2379.824904,NA,NA,NA
1/1/2002,181507,75046.66667,54022,77547,54022,21,6,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,616.620514,2.145159151,0,0,0,2376.919774,181507,77547,54022
2/1/2002,179839,82211.4,57610,83041,57610,19,5,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,616.5618962,2.129344392,0,0,0,2374.669193,179839,83041,57610
3/1/2002,177386,89899,57979,89899,57979,21,5,5,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,616.476695,2.115973312,0,0,0,2372.195864,177386,89899,57979
4/1/2002,182462,86839,60076,86839,60076,22,4,4,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,616.3750366,2.108250782,0,0,0,2369.228776,182462,86839,60076
5/1/2002,176503,77315.2,62811,81898,62811,22,5,4,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,616.2676099,2.11265674,0,0,0,2365.606291,176502,81898,62811
6/1/2002,175940,83420,66756,83420,66756,20,5,5,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,616.1673562,2.111553525,0,0,0,2361.604263,175940,83420,66756
7/1/2002,169371,76503,60934,80263,60934,22,5,4,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,616.0877802,2.106054688,0,0,0,2357.60792,169371,80263,60934
8/1/2002,168532,78132,64622,78131,64622,22,5,4,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,616.0375587,2.094057483,0,0,0,2353.941384,168532,78131,64622
9/1/2002,176328,83911.8,63358,89599,63358,20,5,5,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,616.0060583,2.091890843,0,0,0,2350.684351,176328,89599,63358
10/1/2002,168429.5652,80731,63646,80731,63646,23,4,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,615.9778183,2.087570986,0,0,0,2347.855414,170083,80731,63646
11/1/2002,167672.483,82316.11755,61844,83538,61843,19,7,4,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,615.9375347,2.090809204,0,0,0,2345.31902,168713,83538,61843
12/1/2002,157958,88170,67300,90845,67300,21,5,5,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,615.8705318,2.094057483,0,0,0,2342.323049,161982,90845,67300
1/1/2003,160170,71655.33333,51824,71488,51824,21,6,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,615.7622906,2.076848998,0,0,0,2337.961239,160048,71488,51824
2/1/2003,160867,62116.2,52513,71921,52513,19,5,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,615.6094276,2.060970948,0,0,0,2331.811553,160867,71921,52513
