"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","manhattan_baseline","hudson_baseline","region_pess","region_opt","man_hud_pess","man_hud_opt","cpi_2020_08","month"
"Feb 2007",2451.56552667799,224.958722438192,614.201457538143,2451.56658046203,205.217245996771,8316.83995196058,2207.24869634729,244.319568904894,8316.83995196058,8316.83995196058,2451.56826517549,2451.56826517549,205.217190622358,2007-02-01
"Mar 2007",2454.59333301798,225.703822773787,614.205113846941,2454.59630734394,206.00847122349,8323.73529011328,2209.40263445957,245.18902227392,8323.73529011328,8323.73529011328,2454.59165671347,2454.59165671347,206.008428976622,2007-03-01
"Apr 2007",2457.164665,226.2738,614.1682413,2457.169719,206.631,8328.021,2211.187848,245.9739409,8328.021,8328.021,2457.161789,2457.161789,206.631,2007-04-01
"May 2007",2460.32256498934,226.649016704329,614.090309535342,2460.32914655654,207.064021430346,8330.78483695959,2214.15825300873,246.164627477921,8330.78483695959,8330.78483695959,2460.32288078371,2460.32288078371,207.064056835004,2007-05-01
"Jun 2007",2464.0452528922,226.970089851373,614.062798048645,2464.0520842278,207.442183755345,8333.65363551848,2218.04777103375,246.003788709897,8333.65363551848,8333.65363551848,2464.05156026331,2464.05156026331,207.442225445337,2007-06-01
"Jul 2007",2468.044743,227.4177,614.2001888,2468.049817,207.939,8338.389,2222.135325,245.9222323,8338.389,8338.389,2468.057558,2468.057558,207.939,2007-07-01
"Aug 2007",2472.09141599426,228.120725559302,614.578084257525,2472.0925313118,208.676631244803,8346.33718168252,2225.86933365482,246.240021179715,8346.33718168252,8346.33718168252,2472.10935561556,2472.10935561556,208.676533889476,2007-08-01
"Sep 2007",2476.18911811693,229.000836339243,615.116568921443,2476.18601941156,209.571830792172,8357.18301966466,2229.37619903507,246.834239190195,8357.18301966466,8357.18301966466,2476.21043897404,2476.21043897404,209.57161739018,2007-09-01
"Oct 2007",2480.400062,229.9279,615.6968478,2480.394975,210.49,8370.196,2232.951819,247.4712254,8370.196,8370.196,2480.423045,2480.423045,210.4897,2007-10-01
"Nov 2007",2484.67650536693,230.797455132533,616.22557740863,2484.67332201104,211.323712849697,8384.14902890287,2236.74548077939,247.95382065877,8384.14902890287,8384.14902890287,2484.69930179105,2484.69930179105,211.32338908857,2007-11-01
"Dec 2007",2488.53088630678,231.607724050917,616.71122029151,2488.53190531117,212.074233816713,8395.82869323032,2240.32002908523,248.230872940436,8395.82869323032,8395.82869323032,2488.55090213684,2488.55090213684,212.073923512468,2007-12-01
"Jan 2008",2491.365688,232.3826,617.1876905,2491.3708,212.77,8401.525,2243.091698,248.287732,8401.525,8401.525,2491.37943,2491.37943,212.7697,2008-01-01
"Feb 2008",2492.77219298246,233.171065021673,617.679243556101,2492.77934242179,213.466295134182,8398.8734434467,2244.64723759796,248.129074714832,8398.8734434467,8398.8734434467,2492.77631240542,2492.77631240542,213.465976422906,2008-02-01
