"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","month"
"May 2020",2901.48581675817,282.051921269196,684.636709143266,2377.20776405257,253.816975886966,9470.82958415517,2020-05-01
"Jun 2020",2899.44118732428,282.39976689668,685.030276307192,2449.07692770849,254.032532205248,9463.43141132192,2020-06-01
"Jul 2020",2899.030167,282.821,685.4267217,2543.62949,254.534,9457.244,2020-07-01
"Aug 2020",2900.52307469065,283.296148313727,685.826349865693,2609.34882377418,254.9982961425,9455.5208864632,2020-08-01
"Sep 2020",2903.29319571613,283.785998040506,686.228881491394,2648.0301051349,255.396680808532,9457.04367808177,2020-09-01
"Oct 2020",2906.489557,284.2464,686.6338913,2674.796461,255.774,9459.476,2020-10-01
"Nov 2020",2909.40150351627,284.648844735155,687.041013212477,2701.73027299863,256.166395098586,9460.95249962165,2020-11-01
"Dec 2020",2911.87965244083,285.027381682039,687.450117942049,2728.75094160397,256.575189005069,9461.49191338806,2020-12-01
"Jan 2021",2913.914939,285.4317,687.8611354,2752.737122,256.993,9461.584,2021-01-01
"Feb 2021",2915.53388928128,285.895515467874,688.274122362174,2771.53918571264,257.413456796486,9461.66215208723,2021-02-01
"Mar 2021",2916.90539281684,286.38865034245,688.689643062636,2786.89436963455,257.834229837859,9461.93429799561,2021-03-01
"Apr 2021",2918.23393,286.8649535,689.1083886,2801.511627,258.254,9462.552,2021-04-01
"May 2021",2919.66210202527,287.294537048901,689.530436986972,2817.3203682248,258.671814752503,9463.59926239979,2021-05-01
"Jun 2021",2921.08499329182,287.712566025939,689.953413892596,2833.13183245052,259.088187939794,9464.88985759245,2021-06-01
"Jul 2021",2922.335809,288.1704687,690.3743319,2846.977716,259.504,9466.17,2021-07-01
"Aug 2021",2923.28206121023,288.702199369853,690.791197541787,2857.43950509177,259.920284193498,9467.24842794325,2021-08-01
"Sep 2021",2923.92848942328,289.271816453795,691.205993148462,2865.29784552642,260.338685069635,9468.18397533828,2021-09-01
"Oct 2021",2924.31414,289.8259044,691.621695,2871.883173,260.761,9469.098,2021-10-01
"Nov 2021",2924.48278946715,290.325988082796,692.040587390321,2878.21342788955,261.188307732763,9470.10154434574,2021-11-01
"Dec 2021",2924.49713501507,290.793354081106,692.462186669112,2884.05656929571,261.618812522409,9471.26438920257,2021-12-01
"Jan 2022",2924.424604,291.2642294,692.8853172,2888.868061,262.05,9472.646,2022-01-01
"Feb 2022",2924.32355281007,291.765445510073,693.309277115446,2892.2891545352,262.479929319893,9474.27506134046,2022-02-01
