"","man_hud","cpi","pop_hudson","man_hud_COVID","month_"
"Feb 2005",2347.12764010503,210.598636081245,615.120451293973,2347.13055204265,2005-02-01
"Mar 2005",2351.41703869702,210.671404772307,615.130096442207,2351.42186105113,2005-03-01
"Apr 2005",2355.825754,210.8924,615.1561801,2355.830748,2005-04-01
"May 2005",2360.35561392634,211.491582944064,615.197085101032,2360.35875896624,2005-05-01
"Jun 2005",2364.7855331417,212.387983795943,615.225956592505,2364.78634843655,2005-06-01
"Jul 2005",2368.838698,213.4229,615.2096303,2368.838698,2005-07-01
"Aug 2005",2372.3660484118,214.449417327681,615.127037813008,2372.36794327756,2005-08-01
"Sep 2005",2375.72953851398,215.36777485874,615.005494176661,2375.73403601752,2005-09-01
"Oct 2005",2379.418876,216.09,614.8844103,2379.423882,2005-10-01
"Nov 2005",2383.77735179681,216.580355152614,614.793698832121,2383.77904607166,2005-11-01
"Dec 2005",2388.56258976535,217.012042695026,614.725279382333,2388.55972934525,2005-12-01
"Jan 2006",2393.385797,217.6105,614.6615733,2393.380792,2006-01-01
"Feb 2006",2397.92776677131,218.529799098896,614.587889765916,2397.92540102837,2006-02-01
"Mar 2006",2402.14763705428,219.638550657455,614.501089286599,2402.14995067558,2006-03-01
"Apr 2006",2406.074132,220.734,614.4009202,2406.079142,2006-04-01
"May 2006",2409.69887352534,221.634466970314,614.290888437549,2409.70183370372,2006-05-01
"Jun 2006",2412.86507461014,222.242569489973,614.189530304603,2412.86351506356,2006-06-01
"Jul 2006",2415.378846,222.482,614.1191397,2415.373833,2006-07-01
"Aug 2006",2417.30844238659,222.343884871697,614.09494857648,2417.30360111968,2006-08-01
"Sep 2006",2419.7706942459,222.089086197469,614.103941102396,2419.76829977388,2006-09-01
"Oct 2006",2424.144576,222.0459,614.1260395,2424.144576,2006-10-01
"Nov 2006",2431.22558996533,222.45481576512,614.145262771344,2431.22621229901,2006-11-01
"Dec 2006",2439.47535003589,223.205096831261,614.162017037666,2439.47553302611,2006-12-01
"Jan 2007",2446.771998,224.0982,614.1808052,2446.771998,2007-01-01
"Feb 2007",2451.56552667799,224.958722438192,614.201457538143,2451.56658046203,2007-02-01
"Mar 2007",2454.59333301798,225.703822773787,614.205113846941,2454.59630734394,2007-03-01
"Apr 2007",2457.164665,226.2738,614.1682413,2457.169719,2007-04-01
"May 2007",2460.32256498934,226.649016704329,614.090309535342,2460.32914655654,2007-05-01
"Jun 2007",2464.0452528922,226.970089851373,614.062798048645,2464.0520842278,2007-06-01
"Jul 2007",2468.044743,227.4177,614.2001888,2468.049817,2007-07-01
"Aug 2007",2472.09141599426,228.120725559302,614.578084257525,2472.0925313118,2007-08-01
"Sep 2007",2476.18911811693,229.000836339243,615.116568921443,2476.18601941156,2007-09-01
"Oct 2007",2480.400062,229.9279,615.6968478,2480.394975,2007-10-01
"Nov 2007",2484.67650536693,230.797455132533,616.22557740863,2484.67332201104,2007-11-01
"Dec 2007",2488.53088630678,231.607724050917,616.71122029151,2488.53190531117,2007-12-01
"Jan 2008",2491.365688,232.3826,617.1876905,2491.3708,2008-01-01
"Feb 2008",2492.77219298246,233.171065021673,617.679243556101,2492.77934242179,2008-02-01
"Mar 2008",2493.09688121154,234.122456345982,618.17150086437,2493.10391389933,2008-03-01
"Apr 2008",2492.875032,235.4112,618.6404253,2492.880157,2008-04-01
"May 2008",2492.38018188841,237.07039589188,619.077488955852,2492.38206689437,2008-05-01
"Jun 2008",2490.83889632855,238.567839454051,619.536200795455,2490.8370491656,2008-06-01
"Jul 2008",2487.215998,239.23,620.085579,2487.210862,2008-07-01
"Aug 2008",2480.74211938983,238.626684744134,620.771851927895,2480.73499429703,2008-08-01
"Sep 2008",2471.71113221499,237.301052504484,621.550088646404,2471.70385780864,2008-09-01
"Oct 2008",2460.682718,236.0396,622.3525684,2460.677595,2008-10-01
"Nov 2008",2448.18513247823,235.44116883529,623.125693688121,2448.18438132496,2008-11-01
"Dec 2008",2434.62092821883,235.353980157639,623.872360030044,2434.62452419238,2008-12-01
"Jan 2009",2420.361232,235.4386,624.6095862,2420.366364,2009-01-01
"Feb 2009",2405.93827006769,235.436999173966,625.351859860358,2405.94044795876,2009-02-01
"Mar 2009",2392.52866653925,235.416767605698,626.103544226017,2392.52615053288,2009-03-01
"Apr 2009",2381.470145,235.5269,626.8664714,2381.465053,2009-04-01
"May 2009",2373.69403573257,235.878782616994,627.637230407479,2373.69110721044,2009-05-01
"Jun 2009",2368.50609580931,236.433367938087,628.39143796219,2368.50774730567,2009-06-01
"Jul 2009",2364.805689,237.114,629.0994677,2364.810778,2009-07-01
"Aug 2009",2361.78084811317,237.846637024722,629.741756050461,2361.785674681,2009-08-01
"Sep 2009",2359.77428211238,238.56769397529,630.338990617821,2359.77659542958,2009-09-01
"Oct 2009",2359.417369,239.2162,630.9219218,2359.417369,2009-10-01
"Nov 2009",2361.15584155551,239.738735950781,631.51544304623,2361.15548384336,2009-11-01
"Dec 2009",2364.69285166709,240.112089494088,632.121020010974,2364.69306719822,2009-12-01
"Jan 2010",2369.545906,240.3206,632.7342614,2369.545906,2010-01-01
"Feb 2010",2375.04179366476,240.362567320298,633.347654364617,2375.0397156863,2010-02-01
"Mar 2010",2379.74443355263,240.292133233545,633.941199838286,2379.73992570347,2010-03-01
"Apr 2010",2382.027027,240.1774,634.4917772,2382.021894,2010-04-01
"May 2010",2381.00339619283,240.091746619878,634.993496524929,2381.00084881882,2010-05-01
"Jun 2010",2378.74984671502,240.129659053215,635.509390672924,2378.75149958049,2010-06-01
"Jul 2010",2378.083305,240.3909,636.1197232,2378.088426,2010-07-01
"Aug 2010",2381.1395105269,240.939875829818,636.878966291219,2381.14566892732,2010-08-01
"Sep 2010",2387.32945495768,241.699567590634,637.738426647801,2387.33511375236,2010-09-01
"Oct 2010",2395.382943,242.5576,638.6236196,2395.388107,2010-10-01
"Nov 2010",2404.1204303292,243.417516727513,639.475394184265,2404.12613065708,2010-11-01
"Dec 2010",2412.72497649132,244.24653725092,640.295934261802,2412.73120855825,2010-12-01
"Jan 2011",2420.470292,245.0278,641.1027574,2420.4755,2011-01-01
"Feb 2011",2426.85554182294,245.751349852719,641.912504560605,2426.85726577764,2011-02-01
"Mar 2011",2432.28170874375,246.434857479765,642.738310282772,2432.27917268136,2011-03-01
"Apr 2011",2437.37523,247.1029,643.5924325,2437.369989,2011-04-01
"May 2011",2442.58316115679,247.76634682457,644.473853928865,2442.57838708416,2011-05-01
"Jun 2011",2447.63503108926,248.381236533728,645.328456418224,2447.63265553117,2011-06-01
"Jul 2011",2452.080987,248.8899,646.0888466,2452.080987,2011-07-01
"Aug 2011",2455.72407454987,249.257925811962,646.710995590599,2455.72493766345,2011-08-01
"Sep 2011",2459.37893323258,249.543933422364,647.244332444336,2459.37951774953,2011-09-01
"Oct 2011",2464.113101,249.8298,647.7616507,2464.113101,2011-10-01
"Nov 2011",2470.59468212517,250.178079557211,648.319204849479,2470.59445085458,2011-11-01
"Dec 2011",2477.89404616564,250.574033480521,648.90709319703,2477.89388954479,2011-12-01
"Jan 2012",2484.682129,250.9836,649.498875,2484.682129,2012-01-01
"Feb 2012",2489.98055583829,251.373348551787,650.075087381855,2489.98061780706,2012-02-01
"Mar 2012",2494.21370921602,251.712373396294,650.644178930512,2494.21375118245,2012-03-01
"Apr 2012",2498.156661,251.9704,651.2215761,2498.156661,2012-04-01
"May 2012",2502.33697989199,252.143926235641,651.814049630507,2502.33696328751,2012-05-01
"Jun 2012",2506.29222193328,252.336539600972,652.393747406851,2506.29221068841,2012-06-01
"Jul 2012",2509.31244,252.6786,652.9241616,2509.31244,2012-07-01
"Aug 2012",2510.97519411223,253.259068727869,653.380155385003,2510.97519856139,2012-08-01
"Sep 2012",2512.00807286569,254.001312644265,653.782075953199,2512.00807587874,2012-09-01
"Oct 2012",2513.426172,254.7873,654.1616415,2513.426172,2012-10-01
"Nov 2012",2516.07287621463,255.500232186211,654.544389103554,2516.07287502248,2012-11-01
"Dec 2012",2520.10472604841,256.028243155305,654.931131372948,2520.10472524107,2012-12-01
"Jan 2013",2525.506551,256.2607,655.3164998,2525.506551,2013-01-01
"Feb 2013",2532.09192402924,256.153787712468,655.698046934112,2532.09192434867,2013-02-01
"Mar 2013",2538.98939194068,255.930962882666,656.08500955501,2538.98939215701,2013-03-01
"Apr 2013",2545.156245,255.8825,656.4895455,2545.156245,2013-04-01
"May 2013",2549.91371040913,256.207739186137,656.915654245182,2549.91371032354,2013-05-01
"Jun 2013",2554.03876311483,256.742283091808,657.334701821828,2554.03876305686,2013-06-01
"Jul 2013",2558.672315,257.2308,657.7098959,2558.672315,2013-07-01
"Aug 2013",2564.61378896383,257.496525913351,658.016469211085,2564.61378898677,2013-08-01
"Sep 2013",2571.29665197042,257.676967713067,658.277754731754,2571.29665198595,2013-09-01
"Oct 2013",2577.812882,257.9882,658.5291105,2577.812882,2013-10-01
"Nov 2013",2583.5162291429,258.571949753051,658.7982151327,2583.51622913676,2013-11-01
"Dec 2013",2588.80753192947,259.272553463332,659.082029562268,2588.80753192531,2013-12-01
"Jan 2014",2594.349401,259.86,659.3698353,2594.349401,2014-01-01
"Feb 2014",2600.68387616822,260.167393592962,659.652592687744,2600.68387616987,2014-02-01
"Mar 2014",2607.87071394137,260.28029991509,659.927977389546,2607.87071394248,2014-03-01
"Apr 2014",2615.8491,260.3474,660.1953439,2615.8491,2014-04-01
"May 2014",2624.43061122121,260.477249949174,660.457441857065,2624.43061122078,2014-05-01
"Jun 2014",2632.91638926805,260.617906135567,660.730601472144,2632.91638926776,2014-06-01
"Jul 2014",2640.479967,260.6773,661.0345481,2640.479967,2014-07-01
"Aug 2014",2646.52275520616,260.585732536268,661.381583976588,2646.52275520625,2014-08-01
"Sep 2014",2651.35767639388,260.36298295005,661.754318862622,2651.35767639391,2014-09-01
"Oct 2014",2655.525531,260.0512,662.1279394,2655.525531,2014-10-01
"Nov 2014",2659.49894917633,259.70602360946,662.483470603247,2659.49894917642,2014-11-01
"Dec 2014",2663.47787993424,259.437058360529,662.825290977372,2663.47787993441,2014-12-01
"Jan 2015",2667.594102,259.3674,663.1636174,2667.594102,2015-01-01
"Feb 2015",2671.90210823665,259.57383969256,663.506493514124,2671.90210823619,2015-02-01
"Mar 2015",2676.14724805435,259.947950274499,663.853270024189,2676.14724805366,2015-03-01
"Apr 2015",2679.997585,260.335,664.2011244,2679.997585,2015-04-01
"May 2015",2683.34960295112,260.617473175854,664.547959899513,2683.34960295287,2015-05-01
"Jun 2015",2687.01346710762,260.826718319255,664.894582933281,2687.01346711021,2015-06-01
"Jul 2015",2692.027763,261.0313,665.2425257,2692.027763,2015-07-01
"Aug 2015",2699.02442318108,261.270171307727,665.592584861896,2699.02442317453,2015-08-01
"Sep 2015",2707.00876829296,261.463839411444,665.942614935283,2707.00876828329,2015-09-01
"Oct 2015",2714.579466,261.5032,666.2897349,2714.579466,2015-10-01
"Nov 2015",2720.58320376898,261.336945296942,666.632392982532,2720.58320379343,2015-11-01
"Dec 2015",2724.85874827613,261.144953664599,666.974354395958,2724.85874831223,2015-12-01
"Jan 2016",2727.492886,261.1649,667.3207136,2727.492886,2016-01-01
"Feb 2016",2728.83854622445,261.555569726728,667.674436830195,2728.8385461332,2016-02-01
"Mar 2016",2730.31322945439,262.160190374604,668.02997742533,2730.31322931966,2016-03-01
"Apr 2016",2733.600579,262.7431,668.3796605,2733.600579,2016-04-01
"May 2016",2739.73566777765,263.134579499847,668.718174944833,2739.73566811819,2016-05-01
"Jun 2016",2747.15928712853,263.428681133283,669.049664754575,2747.15928763138,2016-06-01
"Jul 2016",2753.663658,263.7854,669.3806377,2753.663658,2016-07-01
"Aug 2016",2757.77399159086,264.325912273883,669.71630103862,2757.77399031995,2016-08-01
"Sep 2016",2760.94746010558,265.016118425598,670.056659974891,2760.94745822891,2016-09-01
"Oct 2016",2765.374226,265.7831,670.4004192,2765.374226,2016-10-01
"Nov 2016",2772.4974936737,266.546656589804,670.745579208092,2772.49749841681,2016-11-01
"Dec 2016",2780.77263530103,267.197459979144,671.087323705123,2780.77264230484,2016-12-01
"Jan 2017",2787.908065,267.6189,671.4201322,2787.908065,2017-01-01
"Feb 2017",2792.28641564024,267.74499470023,671.741146547529,2792.28639793871,2017-02-01
"Mar 2017",2794.98719509773,267.712274991163,672.058157986101,2794.98716895917,2017-03-01
"Apr 2017",2797.76413,267.7079,672.3816201,2797.76413,2017-04-01
"May 2017",2801.90166065421,267.877768312979,672.716810835124,2801.90172671722,2017-05-01
"Jun 2017",2806.80708208586,268.202736352501,673.048305583809,2806.80717963629,2017-06-01
"Jul 2017",2811.418403,268.6224,673.3555041,2811.418403,2017-07-01
"Aug 2017",2814.92671915031,269.087843158963,673.624610156418,2814.9264725998,2017-08-01
"Sep 2017",2817.53547448479,269.596101821059,673.869043600885,2817.53511042162,2017-09-01
"Oct 2017",2819.7012,270.1557,674.1090283,2819.7012,2017-10-01
"Nov 2017",2821.88668037417,270.763703495612,674.360593287352,2821.88760051321,2017-11-01
"Dec 2017",2824.57971501205,271.371345252157,674.622988264502,2824.5810737143,2017-12-01
"Jan 2018",2828.274357,271.9184,674.8912681,2828.274357,2018-01-01
"Feb 2018",2833.27005309372,272.364828043771,675.161106712692,2833.2666190881,2018-02-01
"Mar 2018",2839.08782472628,272.751331985132,675.43065422259,2839.08275398048,2018-03-01
"Apr 2018",2845.054087,273.1388,675.6986798,2845.054087,2018-04-01
"May 2018",2850.55700932498,273.568825070041,675.965548884103,2850.56982520844,2018-05-01
"Jun 2018",2855.23177834212,274.005819399909,676.238011989583,2855.25070262308,2018-06-01
"Jul 2018",2858.775335,274.3949,676.5244159,2858.775335,2018-07-01
"Aug 2018",2861.19084275448,274.696553157542,676.830821991637,2861.14301322625,2018-08-01
"Sep 2018",2863.70635509045,274.932742267084,677.154150011672,2863.63572871242,2018-09-01
"Oct 2018",2867.856148,275.1408,677.4890343,2867.856148,2018-10-01
"Nov 2018",2874.60542562003,275.358628966454,677.830657464161,2874.78392784951,2018-11-01
"Dec 2018",2882.64310466648,275.626411531756,678.17639518225,2882.90668589763,2018-12-01
"Jan 2019",2890.08903,275.9849,678.5241714,2890.08903,2019-01-01
"Feb 2019",2895.36924113574,276.457549495158,678.873522129495,2894.70306174604,2019-02-01
"Mar 2019",2898.13455620662,276.998626420708,679.230431648218,2897.15085766005,2019-03-01
"Apr 2019",2898.341988,277.5451,679.6024963,2898.341988,2019-04-01
"May 2019",2896.33356035553,278.047095275135,679.993853566006,2898.81977568481,2019-05-01
"Jun 2019",2893.99134132188,278.507360563194,680.394805476731,2897.662554277,2019-06-01
"Jul 2019",2893.58241,278.9418,680.7921952,2893.58241,2019-07-01
"Aug 2019",2896.66636255326,279.364450885781,681.176401947222,2887.38768062582,2019-08-01
"Sep 2019",2901.97286339477,279.781883178371,681.551949104121,2888.27171012083,2019-09-01
"Oct 2019",2907.524094,280.1988,681.9268961,2907.524094,2019-10-01
"Nov 2019",2911.63908665362,280.612090070626,682.307518567329,2945.75177247857,2019-11-01
"Dec 2019",2913.82427687684,280.987384501102,682.692956951233,2960.83106457302,2019-12-01
"Jan 2020",2913.882951,281.2825,683.0805679,2899.955634,2020-01-01
"Feb 2020",2911.81605231372,281.474774016896,683.468284620499,2734.73873460812,2020-02-01
"Mar 2020",2908.41515194972,281.61962696537,683.856346553913,2534.47198077206,2020-03-01
"Apr 2020",2904.669478,281.792,684.2455697,2392.866577,2020-04-01
"May 2020",2901.48581675817,282.051921269196,684.636709143266,2377.20776405257,2020-05-01
"Jun 2020",2899.44118732428,282.39976689668,685.030276307192,2449.07692770849,2020-06-01
"Jul 2020",2899.030167,282.821,685.4267217,2543.62949,2020-07-01
"Aug 2020",2900.52307469065,283.296148313727,685.826349865693,2609.34882377418,2020-08-01
"Sep 2020",2903.29319571613,283.785998040506,686.228881491394,2648.0301051349,2020-09-01
"Oct 2020",2906.489557,284.2464,686.6338913,2674.796461,2020-10-01
"Nov 2020",2909.40150351627,284.648844735155,687.041013212477,2701.73027299863,2020-11-01
"Dec 2020",2911.87965244083,285.027381682039,687.450117942049,2728.75094160397,2020-12-01
"Jan 2021",2913.914939,285.4317,687.8611354,2752.737122,2021-01-01
"Feb 2021",2915.53388928128,285.895515467874,688.274122362174,2771.53918571264,2021-02-01
