,Port.Authority.Area,New.York.City,Bronx.County,Kings.County,Nassau.County,New.York.County,Queens.County,Richmond.County,Rockland.County,Suffolk.County,Westchester.County,Bergen.County,Essex.County,Hudson.County,Middlesex.County,Monmouth.County,Morris.County,Passaic.County,Somerset.County,Union.County,PA.Moderate,PA.Protracted,New.York.Co.Protracted,Hudson.Co.Protracted,Man.Hud.Emp.Moderate,Man.Hud.Emp.Protracted
10/1/12,8333.253,3946.846631,302.5570494,630.086599,608.640664,2267.627053,633.6499247,112.9260048,116.7128197,636.8969611,419.8766404,446.9231393,362.6781909,246.6044297,406.042643,252.8629683,292.0586098,178.2033716,184.1592504,234.7463812,8333.253,8333.253,2267.627053,246.6044297,2514.231483,2514.231483
11/1/12,8345.512262,3950.858696,303.2480561,630.3704766,608.8623614,2269.959375,633.987055,113.2937338,116.7140085,638.3113662,419.9157381,448.4259023,362.0643116,246.6958637,407.4203345,253.5779325,293.3603383,178.0229818,185.1402095,236.1416271,8345.512262,8345.512262,2269.959375,246.6958637,2516.655238,2516.655238
12/1/12,8363.192224,3957.16256,304.1107417,631.4465627,609.8941269,2273.793987,634.0489617,113.7623081,116.9449741,640.531164,419.7357579,450.3000891,361.574224,246.7452196,409.0764085,254.6491417,294.7942428,177.7093004,186.3331576,237.7410473,8363.192224,8363.192224,2273.793987,246.7452196,2520.539206,2520.539206
1/1/13,8383.179,3966.881215,305.1831835,633.6746827,611.4961333,2278.989836,634.7638582,114.2696552,117.344093,643.0714974,419.6783769,451.8353663,361.0506459,246.8829677,410.1415214,255.4723952,295.9644368,177.22881,187.3599476,238.7708932,8383.179,8383.179,2278.989836,246.8829677,2525.872804,2525.872804
2/1/13,8402.672877,3980.379849,306.4516923,637.1733147,613.379624,2285.268586,636.7219515,114.7643056,117.8293147,645.4811178,419.9926445,452.5428343,360.3710001,247.2054272,410.0224881,255.6300177,296.5865666,176.6069317,187.9486226,238.6963233,8402.672877,8402.672877,2285.268586,247.2054272,2532.474013,2532.474013
3/1/13,8420.130828,3994.992444,307.695513,641.0955482,615.0601247,2291.802761,639.1614231,115.2371998,118.2368795,647.4432111,420.5570997,452.8193291,359.5515291,247.6723122,409.230758,255.4504346,296.8224082,176.1048403,188.2519856,237.9381246,8420.130828,8420.130828,2291.802761,247.6723122,2539.475073,2539.475073
4/1/13,8434.324,4007.295179,308.6421236,644.3531254,616.0042318,2297.627601,640.9824484,115.6898811,118.3826007,648.6745715,421.1576542,453.2831209,358.6431805,248.2091859,408.5539391,255.4485964,296.9452702,176.0426493,188.5290295,237.1559909,8434.324,8434.324,2297.627601,248.2091859,2545.836787,2545.836787
5/1/13,8444.829008,4015.05609,309.1189957,646.2364616,615.9175086,2302.124576,641.4512608,116.1247967,118.1770894,649.0433436,421.6234568,454.3656966,357.7248434,248.7390857,408.5833076,255.9904664,297.1881152,176.5984608,188.9697503,236.8530358,8444.829008,8444.829008,2302.124576,248.7390857,2550.863661,2550.863661
6/1/13,8454.444352,4020.810646,309.3535736,647.5506631,615.4613859,2306.060072,641.2983264,116.5480103,117.9101486,649.0230726,421.9566055,455.7514116,356.9871739,249.1749472,409.1248117,256.8460578,297.6225232,177.3823318,189.4881568,236.9060513,8454.444352,8454.444352,2306.060072,249.1749472,2555.23502,2555.23502
7/1/13,8466.774,4028.286172,309.6732951,649.4795095,615.5362614,2310.546708,641.6201694,116.96649,117.966379,649.2386537,422.2024358,456.9378384,356.6487698,249.4271803,409.7880677,257.6363968,298.2797282,177.8623079,189.9292605,237.0352486,8466.774,8466.774,2310.546708,249.4271803,2559.973888,2559.973888
8/1/13,8483.96883,4040.008795,310.2953035,652.8117848,616.7568779,2316.3632,643.1601705,117.378336,118.5835108,650.0872894,422.4065101,457.5627181,356.8131356,249.4381785,410.2685643,258.0696326,299.1347366,177.6514844,190.1751128,237.0129381,8483.96883,8483.96883,2316.3632,249.4381785,2565.801379,2565.801379
9/1/13,8502.367357,4053.699842,310.9955651,656.7562922,618.595358,2322.95267,645.2491362,117.7461783,119.4117917,651.0554108,422.6152991,457.8244674,357.1234035,249.2782688,410.6052796,258.2024087,299.9376442,176.9431546,190.2559231,236.8198249,8502.367357,8502.367357,2322.95267,249.2782688,2572.230939,2572.230939
10/1/13,8516.855,4065.87944,311.439752,660.1268399,620.2381694,2329.424339,646.8647295,118.0237793,119.9545988,651.401756,422.8755009,458.0616716,357.1076123,249.0497616,410.9230643,258.1784917,300.382319,176.0756612,190.2389399,236.4887133,8516.855,8516.855,2329.424339,249.0497616,2578.474101,2578.474101
11/1/13,8524.201855,4074.16938,311.4151457,662.0929888,621.0649202,2335.129004,647.3479809,118.1842601,119.8682502,650.6461009,423.2260889,458.5270877,356.4821432,248.8514674,411.3297613,258.1349907,300.28522,175.3338914,190.2013888,236.0816182,8524.201855,8524.201855,2335.129004,248.8514674,2583.980471,2583.980471
12/1/13,8528.716703,4080.598106,311.1954646,663.2473118,621.2277805,2340.383763,647.4933902,118.2781764,119.4208283,649.3523713,423.6751391,459.1301591,355.7167469,248.768197,411.8651832,258.1823838,299.9531703,174.7889089,190.2604014,235.7773985,8528.716703,8528.716703,2340.383763,248.768197,2589.15196,2589.15196
1/1/14,8536.593,4088.295728,311.1760364,664.538135,621.0720606,2345.747289,648.4588246,118.3754429,119.033357,648.3455307,424.223003,459.6945008,355.4695163,248.8812613,412.552135,258.4244912,299.8155843,174.4583221,190.5430861,235.784124,8536.593,8536.593,2345.747289,248.8812613,2594.62855,2594.62855
2/1/14,8552.314898,4099.607924,311.6637605,666.6750008,620.8994838,2351.698561,651.043612,118.5269894,119.023058,648.2582912,424.876279,460.0925942,356.1584348,249.2428134,413.3808304,258.9155566,300.174885,174.3418197,191.1239991,236.2183989,8552.314898,8552.314898,2351.698561,249.2428134,2600.941375,2600.941375
3/1/14,8573.529349,4113.74265,312.6118227,669.4123176,620.8374247,2358.39778,654.6129229,118.7078079,119.2919461,648.9543602,425.6665524,460.3923873,357.2410482,249.7883751,414.2111179,259.5115166,300.8255309,174.3674135,191.867488,236.8309646,8573.529349,8573.529349,2358.39778,249.7883751,2608.186155,2608.186155
4/1/14,8596.174,4129.123433,313.88498,672.2657103,620.9696704,2365.925449,658.1733886,118.8739057,119.6382344,650.1051935,426.631655,460.7106943,357.9347925,250.4243108,414.8702546,260.0187312,301.4349896,174.445196,192.5853482,237.2810964,8596.174,8596.174,2365.925449,250.4243108,2616.34976,2616.34976
5/1/14,8616.931996,4144.365605,315.3264608,674.9008503,621.3424046,2374.187135,660.9569276,118.9942321,119.9131404,651.4072594,427.769779,461.1139974,357.697632,251.067423,415.2342238,260.3083554,301.7410356,174.5028268,193.1331754,237.3351138,8616.931996,8616.931996,2374.187135,251.067423,2625.254558,2625.254558
6/1/14,8635.468458,4158.851727,316.6933768,677.5835957,621.8513963,2382.388643,663.0966078,119.0895039,120.1799006,652.6570741,428.920557,461.4674488,356.9496429,251.6762687,415.3739141,260.5107251,301.7626717,174.5382337,193.541767,237.1875112,8635.468458,8635.468458,2382.388643,251.6762687,2634.064912,2634.064912
7/1/14,8652.194,4172.156166,317.721311,680.729851,622.3548109,2389.56084,664.9507848,119.1933796,120.554756,653.6761661,429.8839816,461.5858684,356.3514295,252.2198431,415.4089403,260.8209712,301.5892078,174.5669116,193.8857205,237.1398269,8652.194,8652.194,2389.56084,252.2198431,2641.780683,2641.780683
8/1/14,8667.555302,4184.04701,318.2662995,684.6107982,622.7819037,2395.002235,666.825194,119.3424836,121.0978445,654.3333818,430.5135142,461.3557115,356.4100546,252.6782816,415.4659045,261.3552959,301.3282898,174.595646,194.2047043,237.388253,8667.555302,8667.555302,2395.002235,252.6782816,2647.680517,2647.680517
9/1/14,8682.143302,4195.067233,318.6661918,688.9187294,623.3462904,2399.081918,668.8150918,119.5853025,121.6448918,654.6868396,430.8764905,460.9499745,357.0184148,253.0762794,415.6993587,261.9141862,301.1609072,174.5963851,194.3986693,237.7075979,8682.143302,8682.143302,2399.081918,253.0762794,2652.158198,2652.158198
10/1/14,8696.585,4205.953529,319.3792909,693.2012141,624.3326765,2402.436621,670.9631144,119.9732888,121.9755207,654.8419759,431.0937149,460.6132891,357.9158655,253.4496717,416.2708422,262.2192002,301.2863855,174.532368,194.3326371,237.7673236,8696.585,8696.585,2402.436621,253.4496717,2655.886293,2655.886293
11/1/14,8711.316462,4217.180408,320.6953171,697.0645528,625.8984898,2405.629526,673.267281,120.5237311,121.9500685,654.9388516,431.2803689,460.551135,358.8493161,253.8270184,417.2694576,262.1068961,301.8271743,174.3765581,193.9418846,237.3188389,8711.316462,8711.316462,2405.629526,253.8270184,2659.456545,2659.456545
12/1/14,8726.010003,4228.173647,322.2296602,700.3499704,627.692046,2408.929613,675.5471414,121.1172631,121.7517316,655.2560254,431.5291428,460.8123842,359.5958932,254.2077788,418.4945604,261.8738333,302.5982205,174.1408177,193.4427097,236.4413385,8726.010003,8726.010003,2408.929613,254.2077788,2663.137391,2663.137391
1/1/15,8740.147,4238.096841,323.4291275,702.9574228,629.234383,2412.532308,677.577628,121.600355,121.644421,656.1066808,431.9271043,461.4067566,359.940278,254.5841369,419.6730693,261.931571,303.3375948,173.8467335,193.1216659,235.2959635,8740.147,8740.147,2412.532308,254.5841369,2667.116445,2667.116445
2/1/15,8753.451665,4246.405697,323.8966659,704.8870919,630.2052931,2416.516374,679.2427804,121.8627847,121.8221883,657.6756325,432.5363259,462.3067855,359.767682,254.9544668,420.6223264,262.5492515,303.8535807,173.5158328,193.1824356,234.0542744,8753.451665,8753.451665,2416.516374,254.9544668,2671.470841,2671.470841
3/1/15,8766.61954,4253.724381,323.8597807,706.5400632,630.9195867,2420.493909,680.8630655,121.9675619,122.1996467,659.6342216,433.3189002,463.3362581,359.3654395,255.3419023,421.5213681,263.4263477,304.2353109,173.1694049,193.4972182,232.9295091,8766.61954,8766.61954,2420.493909,255.3419023,2675.835812,2675.835812
4/1/15,8780.589,4260.969172,323.7021169,708.417648,631.8508289,2423.960345,682.8680575,122.0210039,122.62155,661.5254206,434.2119244,464.2817747,359.1214155,255.7757673,422.639654,264.1199155,304.6421307,172.8286797,193.8553421,232.145325,8780.589,8780.589,2423.960345,255.7757673,2679.736112,2679.736112
