"","month","week_avg","sat_avg","sun_avg","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun"
"43",2023-03-01,293301.481395792,136107.657350355,89494.8999675274,23,4,4,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6745934.07210322,544430.629401419,357979.59987011
"44",2023-04-01,298838.446209578,138355.381760843,95684.8898298413,20,5,5,20,5,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,5976768.92419156,691776.908804213,478424.449149206
"45",2023-05-01,301697.386824717,130457.534916702,100351.3343985,22,5,4,22,4,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,6637342.51014378,521830.139666806,501756.6719925
"46",2023-06-01,305099.02004171,137690.060430326,105916.89616001,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6712178.44091762,550760.241721304,423667.584640039
"47",2023-07-01,301154.990372534,133977.771808107,99618.2113449639,20,6,5,20,5,6,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,6023099.80745069,669888.859040534,597709.268069783
"48",2023-08-01,295189.208177034,132867.069296079,98214.8236821201,23,4,4,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,6789351.78807178,531468.277184315,392859.294728481
"49",2023-09-01,305651.492933907,134180.286800935,103046.32695695,20,6,4,20,5,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,6113029.85867814,670901.434004677,515231.634784749
"50",2023-10-01,303669.076627204,138001.944000783,100410.096941858,22,4,5,21,4,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6377050.60917128,552007.776003134,602460.581651149
"51",2023-11-01,297641.997925895,132609.684733253,96693.1240044309,20,6,4,19,4,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5655197.96059201,530438.738933013,676851.868031016
"52",2023-12-01,287919.291703081,132856.663770546,98882.2393089391,20,6,5,20,5,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,5758385.83406163,664283.318852729,593293.435853635
"53",2024-01-01,286567.86175263,118318.130408077,82856.3492408132,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6017925.09680523,473272.521632309,497138.095444879
"54",2024-02-01,291796.503082732,125260.796667296,88341.0539528475,20,5,4,20,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5835930.06165463,501043.186669183,441705.269764238
"55",2024-03-01,294497.679618779,139047.014866002,91219.6741241082,21,5,5,21,5,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6184451.27199436,695235.07433001,456098.370620541
"56",2024-04-01,300023.760557621,141298.396475184,97411.8099798337,22,4,4,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6600522.73226766,565193.585900737,389647.239919335
"57",2024-05-01,302907.300826156,133405.178410037,102080.97065169,22,5,4,22,4,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,6663960.61817544,533620.713640146,510404.853258448
"58",2024-06-01,306358.827430576,140641.230468792,107648.601740899,20,5,5,20,5,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6127176.54861151,703206.152343958,538243.008704493
"59",2024-07-01,302474.76705515,136928.771005265,101349.816678543,22,5,4,22,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,6654444.8752133,547715.084021062,506749.083392714
"60",2024-08-01,296566.811181334,135812.466220325,99943.1416797833,22,5,4,22,5,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,6524469.84598936,679062.331101626,399772.566719133
"61",2024-09-01,307084.557418281,137116.360637478,104769.174296264,20,5,5,20,4,6,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,6141691.14836562,548465.442549911,628615.045777581
"62",2024-10-01,305158.015889938,140927.545833083,102126.79945456,23,4,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6713476.34957865,563710.183332332,510633.9972728
"63",2024-11-01,299189.408825083,135525.711101269,98404.2077677134,19,7,4,18,5,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5385409.35885149,677628.555506347,688829.454373994
"64",2024-12-01,289527.577699265,135763.950729683,100588.1949085,21,5,5,21,4,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,6080079.13168456,543055.802918733,603529.169450999
"65",2025-01-01,288238.638934495,121216.927261395,84557.3229642231,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6053011.41762439,484867.709045578,507343.937785339
"66",2025-02-01,293529.556850178,128150.810154601,90036.8737191002,19,5,4,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5577061.58015339,512603.240618404,450184.368595501
"67",2025-03-01,296286.792626775,141927.586094216,92909.9533038981,21,5,5,21,5,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6222022.64516228,709637.930471081,464549.766519491
"68",2025-04-01,301855.669399274,144168.545107439,99095.9733251054,22,4,4,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6640824.72678403,576674.180429756,396383.893300422
"69",2025-05-01,304764.432373295,136263.980940586,103758.476262101,21,6,4,21,5,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,6400053.0798392,681319.90470293,518792.381310504
"70",2025-06-01,308230.244347541,143489.332974717,109319.828725505,21,4,5,21,4,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6472835.13129836,573957.331898867,546599.143627526
"71",2025-07-01,304358.904139376,139768.767189422,103016.286986149,22,5,4,22,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,6695895.89106628,559075.068757688,515081.434930744
"72",2025-08-01,298469.312097417,138648.244723296,101607.137110662,21,5,5,21,5,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,6267855.55404575,693241.223616481,508035.685553308
"73",2025-09-01,309009.622997254,139950.49428538,106432.204549038,21,5,4,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,6489202.08294234,559801.97714152,532161.022745189
