month,YR,MTH,Weekdays,Saturdays,Sundays,Holidays,Wkday+HolMinor,Saturday+HolMajor,Sundays,TotalDays
10/1/2036,2036,10,22,4,4,1,23,4,4,31
11/1/2036,2036,11,17,5,5,3,18,7,5,30
12/1/2036,2036,12,22,4,4,1,22,5,4,31
1/1/2037,2037,1,20,5,4,2,20,7,4,31
2/1/2037,2037,2,19,4,4,1,19,5,4,28
3/1/2037,2037,3,22,4,5,0,22,4,5,31
4/1/2037,2037,4,22,4,4,0,22,4,4,30
5/1/2037,2037,5,20,5,5,1,20,6,5,31
6/1/2037,2037,6,22,4,4,0,22,4,4,30
7/1/2037,2037,7,22,4,4,1,22,5,4,31
8/1/2037,2037,8,21,5,5,0,21,5,5,31
9/1/2037,2037,9,21,4,4,1,21,5,4,30
10/1/2037,2037,10,21,5,4,1,22,5,4,31
11/1/2037,2037,11,18,4,5,3,19,6,5,30
12/1/2037,2037,12,22,4,4,1,22,5,4,31
